"Global cluster",Code,Sub-domain,Title,Description/Rationale,Denominator,Disaggregation,"General guidance","Guidance for pre-crisis/baseline","Guidance on phases","Indicator used for response monitoring?","Key indicator",Level,Numerator,"Phase applicability","Sector cross-tagging","Sectoral objective",Standards,"Strategic objective","Threshold / Standard",Types,"Unit Description","Unit of Measurement"
Nutrition,N-043,"N1 Prevention and Management of Acute Malnutrition","SAM currently treated","Number of cases with severe acute malnutrition receiving treatment",N/A,"Geographical area, sex, group of beneficiaries: infants 0-5 months, children 6-59 months, people 60 years of age and older, inpatient/outpatient, rural/urban/IDPs","The total number of children admitted will be based on the target set (the estimated burden of malnutrition x the total number of children who can be reached).  This can be over a specified time period.",,"Phase III and IV",No,Yes,,"Number of cases with severe acute malnutrition receiving treatment","Phase 3, Phase 4","H2 Child health",,"Sphere: Management of acute malnutrition and micronutrient deficiencies standard 2: Severe acute malnutrition",,N/A,Process,Number,Facility
Nutrition,N-044,"N1 Prevention and Management of Acute Malnutrition","SAM treatment coverage","Proportion of cases with severe acute malnutrition receiving treatment","Total number of cases with severe acute malnutrition","Geographical area, sex, group of beneficiaries: infants 0-5 months, children 6-59 months, people 60 years of age and older, inpatient/outpatient, rural/urban/IDPs",,,"Phase III and IV",Yes,Yes,,"Number of cases with severe acute malnutrition receiving for treatment","Phase 3, Phase 4","H2 Child health",,"Food Security and Nutrition 3.2, Sphere: Management of acute malnutrition and micronutrient deficiencies standard 2: Severe acute malnutrition (Key Indicator 2)",,"Sphere Minimum Standards:  >50% for rural; >70% for urban; >90% for IDPs""",Outcome,Percentage,Facility
Nutrition,N-045,"N1 Prevention and Management of Acute Malnutrition","SAM discharged died","Proportion of cases with severe acute malnutrition who died during treatment","Total number of cases with severe acute malnutrition discharged","Geographical area, sex, group of beneficiaries: infants 0-5 months, children 6-59 months, people 60 years of age and older, inpatient/outpatient, rural/urban/IDPs",,,"Phase III and IV",No,Yes,,"Number of cases with severe acute malnutrition who died during treatment","Phase 3, Phase 4","H2 Child health",,"Food Security and Nutrition 3.2, Sphere: Management of acute malnutrition and micronutrient deficiencies standard 2: Severe acute malnutrition (Key Indicator 3)",,"Sphere Standards:  should be less than 10%",Process,Percentage,Facility
Nutrition,N-046,"N1 Prevention and Management of Acute Malnutrition","SAM discharged recovered","Proportion of discharged cases with severe acute malnutrition who  recovered","Total number of cases with severe acute malnutrition discharged","Geographical area, sex, group of beneficiaries: children 0-59 months, 6-59 months,  people 60 years and older, other groups, inpatient/outpatient",,,"Phase III and IV",Yes,Yes,,"Number of discharged cases with severe acute malnutrition who  recovered","Phase 3, Phase 4",,,"Food Security and Nutrition 3.2, Sphere: Management of acute malnutrition and micronutrient deficiencies standard 2: Severe acute malnutrition (Key Indicator 3)",,"Sphere Standards:  should be more than 75%",Outcome,Percentage,Facility
Nutrition,N-047,"N1 Prevention and Management of Acute Malnutrition","SAM discharged defaulted","Proportion of discharged cases with severe acute malnutrition who defaulted","Total number of cases with severe acute malnutrition discharged","Geographical area, sex, group of beneficiaries: infants 0-5, children 6-59 months, people 60 years old and older, other groups, confirmed/non-confirmed",,,"Phase III and IV",Yes,Yes,,"Number of discharged cases with severe acute malnutrition who defaulted","Phase 3, Phase 4",,,"Food Security and Nutrition 3.2, Sphere: Management of acute malnutrition and micronutrient deficiencies standard 2: Severe acute malnutrition (Key Indicator 3)",,"Sphere Standards:  should be less than 15%",Output,Percentage,Facility
Nutrition,N-048,"N1 Prevention and Management of Acute Malnutrition","SAM discharged non-recovered","Proportion of discharged cases with severe acute malnutrition who non-recovered","Total number of cases with severe acute malnutrition discharged","Geographical area, sex, group of beneficiaries: children 0-59 months, 6-59 months,  people 60 years and older, other groups, inpatient/outpatient",,,"Phase III and IV",Yes,No,,"Number of discharged cases with severe acute malnutrition who non-recovered","Phase 3, Phase 4","H2 Child health",,,,NA,"Output, Process",Percentage,Facility
Nutrition,N-049,"N1 Prevention and Management of Acute Malnutrition","SAM referred","Number of cases with severe acute malnutrition referred to inpatient care or hospital",N/A,"Geographical area, sex, group of beneficiaries: children 6-59 months, people 60 years and older,  other groups",,,"Phase III and IV",Yes,No,,"Number of cases with severe acute malnutrition referred to inpatient care or hospital","Phase 3, Phase 4","H1 General clinical services & essential trauma care",,,,NA,"Output, Process",Number,Facility
Nutrition,N-050,"N1 Prevention and Management of Acute Malnutrition","SAM average weight gain","Average weight gain for cases with severe acute malnutrition receiving treatment","""Calculating weight gain :
The example is for weight gain over 7 days, but the same procedure can be applied to any interval:
* subtract from today’s weight (in g) the child’s weight 7 days earlier ;
* divide by 7 to determine the average daily weight gain (g/day) ;
* divide by the child’s average weight in kg to calculate the weight gain as g/kg/da""","Geographical area, sex, group of beneficiaries: children 6-59 months, people 60 years old and older, other groups","Average Daily Weight Gain is calculated on a randomized sample of cured discharges for kwashiorkor and marasmus. A reasonable randomized sample of discharged cured cases is 20. If lower numbers have been discharged cured during the period of reporting, take all discharged cured. See Guidelines for the inpatient treatment of severely malnourished children, WHO 2003",,"Phase III and IV",Yes,No,,"""Calculating weight gain :
The example is for weight gain over 7 days, but the same procedure can be applied to any interval:
* subtract from today’s weight (in g) the child’s weight 7 days earlier ;
* divide by 7 to determine the average daily weight gain (g/day) ;
* divide by the child’s average weight in kg to calculate the weight gain as g/kg/da""","Phase 3, Phase 4",,,"Sphere: Management of acute malnutrition and micronutrient deficiencies standard 2: Severe acute malnutrition",,"poor 10 g/kg/d",Output,"gram weight gain per kilogram of body mass per day",Facility
Nutrition,N-051,"N1 Prevention and Management of Acute Malnutrition","SAM average length of stay","Average duration of SAM treatment","Number of beneficiaries","Geographical area, sex, group of beneficiaries: children 6-59 months, PLW, people 60 years old and older,  other groups","Average Length Of Stay is calculated on a randomized sample of cured discharges for kwashiorkor and marasmus. A reasonable randomized sample of discharged cured cases is 20. If lower numbers have been discharged cured during the period of reporting, take all discharged cured.",,"Phase III and IV",Yes,No,,"Sum of lengths of stay for beneficiaries in therapeutic treatment programme (in days)","Phase 3, Phase 4",,,"Sphere: Management of acute malnutrition and micronutrient deficiencies standard 2: Severe acute malnutrition",,"According to guidelines in use",Output,days,Facility
Nutrition,N-052,"N1 Prevention and Management of Acute Malnutrition","SAM follow-up","Proportion of severe acute malnutrition problem cases receiving treatment in need for follow-up at home who are visited at home","Total number of severe acute malnutrition problem cases receiving treatment in need for follow-up at home","Geographical area, sex, group of beneficiaries: children 6-59 months, other groups","This can be calculated through a coverage survey or using a proxy indicator from the reporting system",,"Phase III and IV",No,No,,"Number of severe acute malnutrition problem cases receiving treatment in need for follow-up at home who are visited at home","Phase 3, Phase 4",,,,,N/A,Process,Percentage,Facility
Nutrition,N-053,"N1 Prevention and Management of Acute Malnutrition","Access to SAM services","Proportion of the severe acute malnutrition target population living within less than one day's return walk from management of SAM site","Estimated SAM target population (based on the prevalence of SAM in the area)","Geographical area, rural/urban, group of beneficiaries: children 6-59 months, other groups","This can be calculated through a coverage survey or using a proxy indicator from the reporting system",,"Phase III and IV",Yes,No,,"Number of the severe acute malnutrition target population living within less than one day's return walk from management of severe acute malnutrition site","Phase 3, Phase 4","P1 (PC) Child Protection, P2 (PG) Gender-Based Violence, W1 Hygiene Promotion, W2 Water Supply, W7 Aggravating Factors",,"Food Security and Nutrition 3.2, Sphere: Management of acute malnutrition and micro nutrient deficiencies standard 2: Severe acute malnutrition (Key indicator 1)",,"SPHERE: More than 90 per cent of the target population is within less than one day’s return walk (including time for treatment) of the programme site.",Output,Percentage,Individual
Nutrition,N-054,"N1 Prevention and Management of Acute Malnutrition","MAM new admissions","Number of cases with moderate acute malnutrition newly admitted for treatment",N/A,"Geographical area, sex, group of beneficiaries: infants 0-5 months, children 6-59 months, PLW, people 60 years of age and older, inpatient/outpatient, rural/urban/IDPs",,,"Phase III and IV",Yes,Yes,,"Number of cases with moderate acute malnutrition newly admitted for treatment","Phase 3, Phase 4","F1 Food Assistance, H2 Child health, W1 Hygiene Promotion, W2 Water Supply, W3 Excreta Disposal, W7 Aggravating Factors",,"Sphere: Management of acute malnutrition and micro-nutrient deficiencies standard 1: Moderate acute malnutrition",,N/A,Output,Number,Facility
Nutrition,N-055,"N1 Prevention and Management of Acute Malnutrition","MAM currently treated","Number of cases with moderate acute malnutrition receiving treatment",N/A,"Geographical area, sex, group of beneficiaries: infants 0-5 months, children 6-59 months, PLW, people 60 years of age and older, inpatient/outpatient, rural/urban/IDPs",,,"Phase III and IV",No,Yes,,"Number of cases with moderate acute malnutrition receiving treatment","Phase 3, Phase 4",,,"Sphere: Management of acute malnutrition and micro-nutrient deficiencies standard 1: Moderate acute malnutrition",,N/A,Process,Number,Facility
Nutrition,N-056,"N1 Prevention and Management of Acute Malnutrition","MAM treatment coverage","Proportion of cases with moderate acute malnutrition receiving treatment","Total number of cases with moderate acute malnutrition","Geographical area, sex, group of beneficiaries: infants 0-5 months, children 6-59 months, PLW, people 60 years of age and older, inpatient/outpatient, rural/urban/IDPs",,,"Phase III and IV",Yes,Yes,,"Number of cases with moderate acute malnutrition receiving for treatment","Phase 3, Phase 4",,,"Food Security and Nutrition 3.1, Sphere: Management of acute malnutrition and micro nutrient deficiencies standard 1: Moderate acute malnutrition (Key indicator 2)",,"geographical area or impact area: Sphere Minimum Standards:  >50% for rural; >70% for urban; >90% for camps""",Outcome,Percentage,Facility
Nutrition,N-057,"N1 Prevention and Management of Acute Malnutrition","MAM discharged died","Proportion of cases with moderate acute malnutrition who died during treatment","Total number of cases with moderate acute malnutrition discharged","Geographical area, sex, group of beneficiaries: infants 0-5 months, children 6-59 months, people 60 years of age and older, inpatient/outpatient, rural/urban/IDPs",,,"Phase III and IV",No,Yes,,"Number of cases with moderate acute malnutrition who died during treatment","Phase 3, Phase 4","H2 Child health",,"Food Security and Nutrition 3.1",,"Sphere Standards:  should be less than 3%",Process,Percentage,Facility
Nutrition,N-058,"N1 Prevention and Management of Acute Malnutrition","MAM discharged recovered","Proportion of discharged cases with moderate acute malnutrition who  recovered","Total number of cases with moderate acute malnutrition discharged","Geographical area, sex, group of beneficiaries: children 0-59 months, 6-59 months, PLW, people 60 years and older, other groups, inpatient/outpatient",,,"Phase III and IV",Yes,Yes,,"Number of discharged cases with moderate acute malnutrition who  recovered","Phase 3, Phase 4",,,"Food Security and Nutrition 3.1",,"Sphere Standards: should be more than 75%",Outcome,Percentage,Facility
Nutrition,N-059,"N1 Prevention and Management of Acute Malnutrition","MAM discharged defaulted","Proportion of discharged cases with moderate acute malnutrition who defaulted","Total number of cases with moderate acute malnutrition discharged","Geographical area, sex, group of beneficiaries: infants 0-5, children 6-59 months, PLW, people 60 years old and older, other groups, confirmed/non-confirmed",,,"Phase III and IV",No,Yes,,"Number of discharged cases with moderate acute malnutrition who defaulted","Phase 3, Phase 4",,,"Food Security and Nutrition 3.1",,"Sphere Standards:  should be less than 15%",Process,Percentage,Facility
Nutrition,N-060,"N1 Prevention and Management of Acute Malnutrition","MAM discharged non-recovered","Proportion of discharged cases with moderate acute malnutrition who non-recovered","Total number of cases with moderate acute malnutrition discharged","Geographical area, sex, group of beneficiaries: children 0-59 months, 6-59 months, PLW, people 60 years and older, other groups, inpatient/outpatient",,,"Phase III and IV",No,No,,"Number of discharged cases with moderate acute malnutrition who non-recovered","Phase 3, Phase 4",,,,,,Process,Percentage,Facility
Nutrition,N-061,"N1 Prevention and Management of Acute Malnutrition","MAM referred","Number of cases with moderate acute malnutrition referred for treatment of severe acute malnutrition, to inpatient care or hospital",N/A,"Geographical area, sex, group of beneficiaries: children 6-59 months, PLW, people 60 years and older, other groups",,,"Phase III and IV",No,No,,"Number of cases with moderate acute malnutrition referred to inpatient care or hospital","Phase 3, Phase 4","H1 General clinical services & essential trauma care, H2 Child health",,,,,Process,Number,Facility
Nutrition,N-062,"N1 Prevention and Management of Acute Malnutrition","MAM follow-up","Proportion of moderate acute malnutrition problem cases receiving treatment in need for follow-up at home who are visited at home","Total number of moderate acute malnutrition problem cases receiving treatment in need for follow-up at home","Geographical area, sex, group of beneficiaries: children 6-59 months, other groups","This can be calculated through a coverage survey or using a proxy indicator from the reporting system",,"Phase III and IV",No,No,,"Number of moderate acute malnutrition problem cases receiving treatment in need for follow-up at home who are visited at home","Phase 3, Phase 4",,,,,,Process,Percentage,Facility
Nutrition,N-063,"N1 Prevention and Management of Acute Malnutrition","Access to MAM services","Proportion of the moderate acute malnutrition target population living within less than one day's return walk from management of MAM site","Estimated MAM target population (based on the prevalence of MAM in the area)","Geographical area, rural/urban, group of beneficiaries: children 6-59 months, other groups","This can be calculated through a coverage survey or using a proxy indicator from the reporting system",,"Phase III and IV",Yes,Yes,,"Number of the moderate acute malnutrition target population living within less than one day's return walk from management of moderate acute or malnutrition site","Phase 3, Phase 4",,,"Food Security and Nutrition 3.1",,"SPHERE: More than 90 per cent of the target population is within less than one day’s return walk (including time for treatment) of the programme site.",Output,Percentage,Individual
Nutrition,N-064,"N1 Prevention and Management of Acute Malnutrition","BSFPs coverage","Proportion of target beneficiaries enrolled in blanket supplementary feeding programme","Total number of beneficiaries meeting the selection criteria for the blanket supplementary feeding programme","Geographical area, rural/urban/IDPs, sex, group of beneficiaries based on national criteria","The total number of children admitted will be based on the target set (the estimated burden of malnutrition x the total number of children who can be reached).  This can be over a specified time period.",,"Phase III and IV",Yes,Yes,,"Number of target beneficiaries meeting the selection criteria for the blanket supplementary feeding programme enrolled","Phase 3, Phase 4",,,,,N/A,Output,Percentage,Individual
Nutrition,N-065,"N1 Prevention and Management of Acute Malnutrition","Children Screened","Number of children screened for acute malnutrition in a community",N/A,"Geographical area, sex, rural/urban/IDP, group of beneficiaries: children 6-59 months, PLW, other groups","This can be calculated through a coverage survey or using a proxy indicator from the reporting system",,"Phase III and IV",Yes,No,,"Number of children screened for acute malnutrition in a community","Phase 3, Phase 4","H2 Child health, H5 Non communicable diseases and mental health, W1 Hygiene Promotion, W7 Aggravating Factors",,,,N/A,Output,Number,Individual
Nutrition,N-066,"N3 Prevention and Control of Micronutrients Deficiencies","Iron-folic acid supplementation coverage  in adolescent girls","Proportion of adolescent girls receiving micronutrient supplements that contain adequate iron","Estimated total number of adolescent girls who meet target criteria for iron-folic acid supplementation","Geographical area","Where a survey has been done, these data should be utilized, otherwise administrative or facility level data can be utilized, however a caution should be paid that denominator of this coverage utilizes estimated number of people that meets criteria for supplementation.",,"preparatory;                             Phase III and IV",Yes,No,,"Number of adolescent girls who received micronutrient supplements with adequate iron-folic acid in/with one of their meals the previous day","Pre-crisis/Baseline, Phase 3, Phase 4","H2 Child health, H4.2 Maternal and newborn care, H5 Non communicable diseases and mental health",,,,,Output,Percentage,"Individual or facility"
Nutrition,N-067,"N3 Prevention and Control of Micronutrients Deficiencies","Women iodine supplementation coverage","Proportion of women of child-bearing age who received iodine supplements","Estimated total number of women of child-bearing age","Geographical area, age group","Where a survey has been done, these data should be utilized, otherwise administrative or facility level data can be utilized, however a caution should be paid that denominator of this coverage utilizes estimated number of people that meets criteria for supplementation.",,"Phase III and IV",Yes,No,,"Number of women of child-bearing age who received iodine supplements","Phase 3, Phase 4","H2 Child health, H4.2 Maternal and newborn care, H5 Non communicable diseases and mental health",,,,,Output,Percentage,"Individual or facility"
Nutrition,N-068,"N3 Prevention and Control of Micronutrients Deficiencies","Deworming coverage in children","Proportion of children 12-59 months who received deworming medication in the previous 6 months","Estimated total number of children 12-59 months","Geographical area, sex","Where a survey has been done, these data should be utilized, otherwise administrative or facility level data can be utilized, however a caution should be paid that denominator of this coverage utilizes estimated number of people that meets criteria for supplementation.",,"Phase III and IV",Yes,No,,"Number of children 12-59 months who received deworming medication in the previous 6 months","Phase 3, Phase 4","H2 Child health",,,,,Output,Percentage,"Individual or facility"
Nutrition,N-069,"N3 Prevention and Control of Micronutrients Deficiencies","Deworming coverage in adolescents","Proportion of adolescent girls who received deworming medication in the previous 6 months","Estimated total number of adolescent girls","Geographical area","Where a survey has been done, these data should be utilized, otherwise administrative or facility level data can be utilized, however a caution should be paid that denominator of this coverage utilizes estimated number of people that meets criteria for supplementation.",,"Phase III and IV",Yes,No,,"Number of  adolescent girls who received deworming medication in the previous 6 months","Phase 3, Phase 4","H4.2 Maternal and newborn care",,,,,Output,Percentage,"Individual or facility"
Nutrition,N-070,"N3 Prevention and Control of Micronutrients Deficiencies","Deworming coverage in pregnant women","Proportion of mothers of children 0-59 months of age who took deworming medication during the last pregnancy.","Estimated total number of  mothers of children 0-59 months of age","Geographical area","Where a survey has been done, these data should be utilized, otherwise administrative or facility level data can be utilised, however a caution should be paid that denominator of this coverage utilizes estimated number of people that meets criteria for supplementation.",,"Phase III and IV",Yes,No,,"Number of mothers of children 0-59 months of age who took deworming medication during the last pregnancy","Phase 3, Phase 4","H4.2 Maternal and newborn care",,,,,Output,Percentage,"Individual or facility"
Nutrition,N-071,"N3 Prevention and Control of Micronutrients Deficiencies","Multiple micronutrients coverage","Proportion of target population that received multiple micronutrient  powder/capsules","Estimated total number of target population that meets selection criteria","Geographical area, sex, age group","Countries or affected areas may choose to modify the age group to 6-23 months or 6-36 months depending on needs. Where a survey has been done, these data should be utilized, otherwise administrative or facility level data can be utilised, however a caution should be paid that denominator of this coverage utilizes estimated number of people that meets criteria for supplementation.",,"Phase III and IV",Yes,Yes,,"Number of target population that received multiple micronutrient  powder/capsules","Phase 3, Phase 4","H2 Child health",,,,,Output,Percentage,"Individual or facility"
Nutrition,N-072,"N3 Prevention and Control of Micronutrients Deficiencies","Micronutrient  knowledge (in-depth)","Proportion of target population who knows key elements of the nutrition messages provided on availability, use and benefits of micronutrient supplements or micronutrient rich or fortified foods/ food supplements","Estimated total number of target population that meets selection criteria","Geographical area, sex, age group",,,"Phase III and IV",Yes,No,,"Number of target population that meets selection criteria who know key elements of the nutrition messages provided on availability, use and benefits of micronutrient supplements or micronutrient rich or fortified foods/ food supplements","Phase 3, Phase 4","H2 Child health, H4.2 Maternal and newborn care",,,,"target - 85%",Output,Percentage,Individual
Nutrition,N-073,"N3 Prevention and Control of Micronutrients Deficiencies","Zinc utilization for diarrhoea treatment","Proportion of non-SAM children with diarrhoea treated with ORS supplemented with zinc","Total number of non-SAM children with diarrhoea treated","Geographical area",,,"Phase III and IV",Yes,No,,"Number of non-SAM children with diarrhoea treated with ORS supplemented with zinc","Phase 3, Phase 4","H2 Child health",,"Food Security and Nutrition 3.3",,,Output,Percentage,"Individual or facility"
Nutrition,N-074,"N3 Prevention and Control of Micronutrients Deficiencies","Prophylactic zinc supplementation in children coverage","Proportion of  children received prophylactic zinc supplements according to national  protocols","Total number of  children eligible to receive prophylactic zinc supplements according to national  protocols","Geographical area, sex, age group",,"Only applicable for countries where zinc supplementation for prophylaxis is a policy","Phase III and IV",Yes,No,,"Number of  children received prophylactic zinc supplements according to national  protocols","Phase 3, Phase 4","H2 Child health",,,,,Output,Percentage,Individual
Nutrition,N-075,"N3 Prevention and Control of Micronutrients Deficiencies","Calcium supplementation in pregnant women","Proportion of pregnant women who received calcium supplements during their last pregnancy","Total number of pregnant women eligible to receive calcium supplements during their last pregnancy","Geographical area, age group, pregnancy status","Where a survey has been done, these data should be utilized, otherwise administrative or facility level data can be utilized, however a caution should be paid that denominator of this coverage utilizes estimated number of people that meets criteria for supplementation.",,"Phase III and IV",Yes,No,,"Number of pregnant women who received calcium supplements during their last pregnancy","Phase 3, Phase 4","H4.2 Maternal and newborn care",,,,,Output,Percentage,Individual
Nutrition,N-076,"N2 Infant and Young Child Feeding","Access to breastfeeding corners","Proportion of breastfeeding mothers of children 0-2 years with access to breastfeeding corners","Number of breastfeeding mothers of children 0-2 years of age","Geographical area",,,"Phase III and IV",Yes,Yes,,"Number of breastfeeding mothers of children 0-2 years of age with access to breastfeeding corners","Phase 3, Phase 4","H4.2 Maternal and newborn care, P1 (PC) Child Protection, P5 Vulnerability, S1.2 Assistance",,"Food Security and Nutrition 2.2",,,Output,Percentage,Individual
Nutrition,N-077,"N2 Infant and Young Child Feeding","Breastfeeding support inclusion","Proportion of programmes that includes support of breastfeeding mothers as a specific programme component","Number of programmes","Geographical area",,,"Phase III and IV",No,Yes,,"Number of programmes where breastfeeding mothers receive support as a specific component","Phase 3, Phase 4","H4.2 Maternal and newborn care",,"Food Security and Nutrition 2.2",,,Process,Percentage,Facility
Nutrition,N-078,"N2 Infant and Young Child Feeding","Proportion of mothers relactated","Proportion of mothers who successfully relactated","Total number of mothers who received relactation support","Geographical area",,,"Phase III and IV",Yes,Yes,,"Number of mothers who successfully relactated","Phase 3, Phase 4",,,,,,Outcome,Number,Facility
Nutrition,N-079,"N2 Infant and Young Child Feeding","Consumption of iron-rich or iron-fortified foods","Proportion of children 6-23 months of age who receive an iron-rich food or iron-fortified food that is specially designed for infants and young children, or that is fortified in the home.","Total number of children 6-23 months","Geographical area",,,"Phase III and IV",Yes,Yes,,"Number of children 6-23 months who receive an iron-rich food or iron fortified food","Phase 3, Phase 4","F1 Food Assistance, H2 Child health, H5 Non communicable diseases and mental health",,"Food Security and Nutrition 2.2",,,Output,Percentage,Individual
Nutrition,N-080,"N2 Infant and Young Child Feeding","Proportion of FBF","Proportion of children 6-23 months received fortified blended foods","Total number of children 6-23 months","Geographical area",,,"Phase III and IV",Yes,No,,"Number of children 6-23 months received fortified blended foods","Phase 3, Phase 4","F1 Food Assistance",,"Food Security and Nutrition 2.2",,,Output,Percentage,Individual
Nutrition,N-081,"N2 Infant and Young Child Feeding","Infants who have access to BMS supplies and support","Proportion of non-breastfed infants under 6 months of age who have access to BMS supplies and support","Total number of non-breastfed infants under 6 months of age in surveyed area","Geographical area",,,"Phase III and IV",No,No,,"Total number of non-breastfed infants under 6 months of age who have access to BMS supplies and support","Phase 3, Phase 4",,,"Food Security and Nutrition 2",,,Process,Percentage,Individual
Nutrition,N-082,"N2 Infant and Young Child Feeding","BMS targeting","Proportion of programmes where BMS are appropriately targeted, based on qualified assessment and governed by accepted criteria","Total number of programmes where BMS are provided","Geographical area",,,"Phase III and IV",No,Yes,,"Number of programmes where BMS are appropriately targeted","Phase 3, Phase 4",,,"Food Security and Nutrition 2",,,Process,Percentage,Facility
Nutrition,N-083,"N2 Infant and Young Child Feeding","Preparation BMS education","Proportion of programmes where education and practical training on safe preparation of BMS for caregivers is included","Total number of programmes where BMS are distributed","Geographical area",,,"Phase III and IV",No,No,,"Number of programmes where education and practical training for caregivers on safe preparation od BMS is included","Phase 3, Phase 4","(R) Early Recovery, W1 Hygiene Promotion",,"Food Security and Nutrition 2",,,Process,Percentage,Facility
Nutrition,N-084,"N2 Infant and Young Child Feeding","BMS follow up","Proportion of programmes where there is follow-up of BMS recipients, both at distribution point and at household level","Total number of programmes with BMS distribution","Geographical area",,,"Phase III and IV",No,No,,"Number of programmes where there is follow-up of BMS recipients at distribution point and at household level","Phase 3, Phase 4",,,,,,Process,Percentage,Facility
Nutrition,N-085,"N2 Infant and Young Child Feeding","BMS labelling language","Proportion of programmes where BMS used labelled in an appropriate language","Total number of programmes where BMS are used","Geographical area",,,"Phase III and IV",No,No,,"Number of programmes where BMS used are labelled in an appropriate language","Phase 3, Phase 4",,,"Food Security and Nutrition 2.2",,,Process,Percentage,Facility
Nutrition,N-086,"N2 Infant and Young Child Feeding","BMS shelf life","Proportion of programmes where distributed BMS DOES NOT have a shelf-life of at least six months","Number of programs where BMS are provided","Geographical area",,,"Phase III and IV",No,No,,"Number of programs where BMS does not have a shelf life of at least six months","Phase 3, Phase 4",,,"Food Security and Nutrition 2.1",,,Process,Percentage,Facility
Nutrition,N-087,"N2 Infant and Young Child Feeding","No secure supply of BMS","Proportion of programmes where a secure supply of BMS been HAS NOT been established","Number of programmes where BMS are distributed","Geographical area",,,"Phase III and IV",No,No,,"Number of programmes where a secure supply of BMS have not been established","Phase 3, Phase 4",,,"Food Security and Nutrition 2.2",,,Process,Percentage,Facility
Nutrition,N-088,"N2 Infant and Young Child Feeding","Admissions with BMS","Proportion of children who were already on BMS when admitted to the programme","Total number of children admitted to programme","Geographical area",,,"Phases I, II, III, IV",No,No,,"Number of children admitted to programme who were already BMS","Phase 1,  Phase 2, Phase 3, Phase 4",,,"Food Security and Nutrition 2.2",,"target: 100%",Process,Number,Individual
Nutrition,N-089,"N2 Infant and Young Child Feeding","Infants in need of BMS","Proportion of children admitted to programme who are in  need of BMS","Total number of children admitted to programme","Geographical area",,,"Phases I, II, III, IV",No,No,,"Number of children admitted to programme who are in need of BMS","Phase 1,  Phase 2, Phase 3, Phase 4",,,"Food Security and Nutrition 2.2",,,Process,Number,Individual
Nutrition,N-090,"N2 Infant and Young Child Feeding","Baby bottles or teats distribution","Proportion of programmes where baby bottles or teats are being used and/or distributed as feeding utensils?","Number of programmes where BMS are distributed","Geographical area",,,"Phase III and IV",No,Yes,,"Number of programmes where baby bottles or teats are being used or distributed","Phase 3, Phase 4",,,"Food Security and Nutrition 2.1",,,Process,Percentage,Facility
Nutrition,N-091,"N2 Infant and Young Child Feeding","BMS distribution","Proportion of programmes where BMS are distributed as part of the food aid distribution","Number of programmes where BMS are distributed","Geographical area",,,"Phase III and IV",No,Yes,,"Number of programmes where BMS are distributed as part of food aid","Phase 3, Phase 4","F1 Food Assistance",,"Food Security and Nutrition 2.1",,,Process,Percentage,Facility
Nutrition,N-092,"N2 Infant and Young Child Feeding","Code violations","Number of recorded Code violations",N/A,"Geographical area",,,"Phase III and IV",No,No,,"Number of recorded Code violations","Phase 3, Phase 4","F1 Food Assistance",,"Food Security and Nutrition 2.1",,,Process,Number,Community
Nutrition,N-093,"N2 Infant and Young Child Feeding","Donations intercepted","Number of donations of BMS, complementary foods, bottles or teats successfully intercepted",N/A,"Geographical area",,,"Phase III and IV",Yes,Yes,,"Number of donations of BMS, complementary foods, bottles or teats successfully intercepted","Phase 3, Phase 4","F1 Food Assistance",,"Food Security and Nutrition 2.1",,,Output,Number,"Facility or community"
Nutrition,N-094,"N2 Infant and Young Child Feeding","Donations not intercepted","Number of  donations of BMS, complementary foods, bottles or teats not successfully intercepted",N/A,"Geographical area",,,"Phase III and IV",Yes,No,,"Number of  donations of BMS, complementary foods, bottles or teats not successfully intercepted","Phase 3, Phase 4","F1 Food Assistance",,"Food Security and Nutrition 2.1",,,Output,Number,"Facility or community"
Nutrition,N-095,"N2 Infant and Young Child Feeding","The code labelling of BMS","Proportion of programmes where the labels of BMS DO NOT comply with the labelling requirements of the Code","Number of programs where BMS are provided","Geographical area",,,"Phase III and IV",No,No,,"Number of programs where labels do not comply with the CODE","Phase 3, Phase 4",,,"Food Security and Nutrition 2.1",,,Process,Percentage,Facility
Nutrition,N-096,"N2 Infant and Young Child Feeding","IYCF in HIV context","Proportion of programmes that follows national policy on HIV","Total number of programmes","Geographical area",,,"Phase III and IV",No,No,,"Number of programmes where individual risk assessment (applying AFASS criteria) is carried out on an ongoing basis for artificially fed infants","Phase 3, Phase 4",,,,,,Process,Percentage,Facility
Nutrition,N-097,"N2 Infant and Young Child Feeding","IYCF support","Proportion of caregivers received skilled IYCF support","Total number of caregivers eligible to receive skilled IYCF support according to national protocols  surveyed","Geographical area, sex",,,"Phase III and IV",Yes,No,,"Number of caregivers received skilled IYCF support","Phase 3, Phase 4",,,"Food Security and Nutrition 2.2",,,Output,Percentage,Individual
Nutrition,N-098,"N2 Infant and Young Child Feeding","IYCF-E orphans and unaccompanied children receiving services","Number of orphans and unaccompanied infants and  children 0-23 months who receive nutritional and care support","Total number of orphans, unaccompanied infants and young children in need of nutritional care and support","Geographical area",,,"Phase III and IV",Yes,No,,"Number of orphans, unaccompanied young children and young children who receive nutritional care and support","Phase 3, Phase 4",,,"Food Security and Nutrition 2.2",,,Output,Number,Individual
